finest_taxon,kingdom,class,order,family,genus,species,Mass_kg,Mass_source,notes
Tamias minimus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias minimus,0.045,Swihart_etal_1988,NA
Tamias striatus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamias,Tamias striatus,0.085,Harestad_ Bunnel_1979,NA
Tamiasciurus hudsonicus,Metazoa,Mammalia,Rodentia,Sciuridae,Tamiasciurus,Tamiasciurus hudsonicus,0.22396,Tamburello_etal_2015,NA
Tapirus bairdii,Metazoa,Mammalia,Perissodactyla,Tapiridae,Tapirus,Tapirus bairdii,299.99913,EltonTraits,NA
Taricha torosa,Metazoa,Amphibia,Caudata,Salamandridae,Taricha,Taricha torosa,0.0097,"Henry J. Harlow 1977. Seasonal Oxygen Metabolism and Cutaneous Osmoregulation in the California Newt, Taricha Torosa",NA
Taxidea taxus,Metazoa,Mammalia,Carnivora,Mustelidae,Taxidea,Taxidea taxus,8.61827,Tamburello_etal_2015,NA
Thamnophis atratus,Metazoa,Lepidosauria,Squamata,Colubridae,Thamnophis,Thamnophis atratus,3.54858e-4,RepTraits,NA
Thomomys bottae,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys bottae,0.16018,Tamburello_etal_2015,NA
Thomomys mazama,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys mazama,0.075,EltonTraits,NA
Thomomys townsendii,Metazoa,Mammalia,Rodentia,Geomyidae,Thomomys,Thomomys townsendii,0.26335,EltonTraits,NA
Urocitellus armatus,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus armatus,0.313,EltonTraits,NA
Urocitellus columbianus,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus columbianus,0.57834,Tamburello_etal_2015,NA
Urocitellus townsendii,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus townsendii,0.213,EltonTraits,NA
Urocitellus washingtoni,Metazoa,Mammalia,Rodentia,Sciuridae,Urocitellus,Urocitellus washingtoni,0.2075,EltonTraits,NA
Urocyon cinereoargenteus,Metazoa,Mammalia,Carnivora,Canidae,Urocyon,Urocyon cinereoargenteus,3.834,EOL,NA
Ursus americanus,Metazoa,Mammalia,Carnivora,Ursidae,Ursus,Ursus americanus,100,Hein_etal_2012,NA
Vulpes macrotis,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,4.49997,EltonTraits,NA
Vulpes macrotis mutica,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes macrotis,4.49997,EltonTraits,NA
Vulpes velox,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes velox,2.0893,Tamburello_etal_2015,NA
Vulpes vulpes,Metazoa,Mammalia,Carnivora,Canidae,Vulpes,Vulpes vulpes,4.1,Gittleman_Harvey_1982,NA
Xerospermophilus mohavensis,Metazoa,Mammalia,Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus mohavensis,0.19,EltonTraits,NA
Xerospermophilus tereticaudus,Metazoa,Mammalia,Rodentia,Sciuridae,Xerospermophilus,Xerospermophilus tereticaudus,0.1565,EltonTraits,NA
Zalophus californianus,Metazoa,Mammalia,Carnivora,Otariidae,Zalophus,Zalophus californianus,80,EltonTraits,NA
