"","species","latitude","longitude","sociality","body_mass_g"
"296","Bathyergus suillus",-33.877392,18.708433,"solitary",780
"297","Bathyergus suillus",-33.877651,18.709263,"solitary",780
"298","Bathyergus suillus",-34.058508,18.442966,"solitary",780
"299","Bathyergus suillus",-34.131156,18.839224,"solitary",780
"300","Bathyergus suillus",-34.14611,18.319389,"solitary",780
"301","Bathyergus suillus",-34.075292,18.514884,"solitary",780
"302","Bathyergus suillus",-34.074297,18.515529,"solitary",780
"303","Bathyergus suillus",-33.851433,18.538843,"solitary",780
"304","Bathyergus suillus",-33.667663,18.557079,"solitary",780
"305","Bathyergus suillus",-34.110981,18.409665,"solitary",780
"306","Bathyergus suillus",-33.957605,18.461199,"solitary",780
"307","Bathyergus suillus",-33.662255,18.447645,"solitary",780
"308","Bathyergus suillus",-33.889549,18.627242,"solitary",780
"309","Bathyergus suillus",-33.888969,18.625247,"solitary",780
"310","Bathyergus suillus",-34.061468,18.493482,"solitary",780
"311","Bathyergus suillus",-33.992896,22.58191,"solitary",780
"312","Bathyergus suillus",-34.35027,18.47909,"solitary",780
"313","Bathyergus suillus",-34.35027,18.47909,"solitary",780
"314","Bathyergus suillus",-33.796048,18.478422,"solitary",780
"315","Bathyergus suillus",-34.058853,18.5033,"solitary",780
"316","Bathyergus suillus",-33.997054,18.483752,"solitary",780
"317","Bathyergus suillus",-33.777631,18.450397,"solitary",780
"318","Bathyergus suillus",-33.635066,18.459489,"solitary",780
"319","Bathyergus suillus",-34.090422,18.466069,"solitary",780
"320","Bathyergus suillus",-33.996798,18.481328,"solitary",780
"321","Bathyergus suillus",-34.068019,22.948088,"solitary",780
"322","Bathyergus suillus",-34.369745,19.124014,"solitary",780
"323","Bathyergus suillus",-34.168727,18.431048,"solitary",780
"324","Bathyergus suillus",-33.951758,18.48382,"solitary",780
"325","Bathyergus suillus",-33.952058,18.484109,"solitary",780
"326","Bathyergus suillus",-34.037652,18.453254,"solitary",780
"327","Bathyergus suillus",-34.101342,18.488567,"solitary",780
"328","Bathyergus suillus",-34.101342,18.488567,"solitary",780
"329","Bathyergus suillus",-33.058243,18.045223,"solitary",780
"330","Bathyergus suillus",-33.93016,18.51825,"solitary",780
"331","Bathyergus suillus",-33.59012,18.78541,"solitary",780
"332","Bathyergus suillus",-33.928562,18.500692,"solitary",780
"333","Bathyergus suillus",-34.145098,18.320172,"solitary",780
"334","Bathyergus suillus",-34.078854,18.429136,"solitary",780
"335","Bathyergus suillus",-33.935634,18.476901,"solitary",780
"336","Bathyergus suillus",-33.940982,18.518446,"solitary",780
"337","Bathyergus suillus",-34.020355,18.719651,"solitary",780
"338","Bathyergus suillus",-34.082014,18.429479,"solitary",780
"339","Bathyergus suillus",-33.30422,26.53276,"solitary",780
"340","Bathyergus suillus",-33.30422,26.53276,"solitary",780
"341","Bathyergus suillus",-34.054208,18.435253,"solitary",780
"342","Bathyergus suillus",-34.128819,18.417842,"solitary",780
"343","Bathyergus suillus",-33.889704,18.629063,"solitary",780
"344","Bathyergus suillus",-34.3411,19.0406,"solitary",780
"345","Bathyergus suillus",-34.09679,18.502565,"solitary",780
"346","Bathyergus suillus",-33.854548,18.489388,"solitary",780
"347","Bathyergus suillus",-34.34907,19.08967,"solitary",780
"348","Bathyergus suillus",-34.089796,18.470013,"solitary",780
"349","Bathyergus suillus",-33.40732,18.242272,"solitary",780
"350","Bathyergus suillus",-34.062052,18.424217,"solitary",780
"351","Bathyergus suillus",-33.618255,18.692975,"solitary",780
